#velocity    Tmb
#km/s         K
    83.860     0.074
    83.782     0.040
    83.705    -0.011
    83.627    -0.055
    83.549    -0.066
    83.471    -0.038
    83.393     0.006
    83.316     0.040
    83.238     0.043
    83.160     0.011
    83.082    -0.006
    83.004     0.016
    82.927     0.003
    82.875    -0.058
    82.797    -0.082
    82.719    -0.057
    82.641    -0.040
    82.563    -0.033
    82.486    -0.013
    82.408     0.016
    82.330     0.040
    82.252     0.052
    82.174     0.065
    82.097     0.079
    82.019     0.064
    81.941     0.033
    81.863     0.024
    81.785     0.027
    81.708     0.029
    81.630     0.044
    81.552     0.053
    81.474     0.031
    81.396     0.009
    81.319     0.000
    81.241    -0.010
    81.163    -0.009
    81.085     0.014
    81.007     0.023
    80.930     0.001
    80.852    -0.008
    80.774     0.008
    80.696     0.004
    80.618    -0.018
    80.541    -0.013
    80.463     0.013
    80.385     0.028
    80.307     0.019
    80.229    -0.010
    80.152    -0.039
    80.074    -0.059
    79.996    -0.077
    79.918    -0.062
    79.840     0.007
    79.763     0.065
    79.685     0.061
    79.607     0.021
    79.529    -0.021
    79.451    -0.054
    79.374    -0.069
    79.296    -0.050
    79.218    -0.016
    79.140     0.008
    79.062     0.030
    78.985     0.057
    78.933     0.074
    78.855     0.075
    78.777     0.071
    78.699     0.072
    78.621     0.045
    78.544    -0.010
    78.466    -0.016
    78.388     0.039
    78.310     0.084
    78.232     0.093
    78.155     0.094
    78.077     0.102
    77.999     0.103
    77.921     0.088
    77.843     0.053
    77.766     0.002
    77.688    -0.041
    77.610    -0.056
    77.532    -0.039
    77.454    -0.001
    77.377     0.009
    77.299    -0.020
    77.221    -0.036
    77.143    -0.015
    77.065     0.022
    76.988     0.044
    76.910     0.043
    76.832     0.037
    76.754     0.030
    76.676     0.017
    76.599     0.021
    76.521     0.041
    76.443     0.025
    76.365    -0.034
    76.287    -0.069
    76.210    -0.056
    76.132    -0.020
    76.054     0.001
    75.976    -0.009
    75.898    -0.027
    75.821    -0.033
    75.743    -0.022
    75.665    -0.004
    75.587    -0.004
    75.509    -0.008
    75.432     0.002
    75.354     0.010
    75.276     0.007
    75.198     0.002
    75.120     0.004
    75.068     0.010
    74.991     0.003
    74.913    -0.004
    74.835     0.015
    74.757     0.037
    74.679     0.024
    74.602    -0.010
    74.524    -0.029
    74.446    -0.025
    74.368    -0.007
    74.290     0.012
    74.213     0.022
    74.135     0.027
    74.057     0.038
    73.979     0.036
    73.901     0.002
    73.824    -0.023
    73.746    -0.013
    73.668     0.001
    73.590     0.004
    73.512     0.004
    73.435    -0.011
    73.357    -0.038
    73.279    -0.052
    73.201    -0.041
    73.123    -0.010
    73.046     0.021
    72.968     0.034
    72.890     0.022
    72.812     0.007
    72.734     0.012
    72.657     0.023
    72.579     0.023
    72.501     0.030
    72.423     0.033
    72.345    -0.006
    72.268    -0.057
    72.190    -0.054
    72.112    -0.005
    72.034     0.006
    71.956    -0.038
    71.879    -0.063
    71.801    -0.043
    71.723    -0.003
    71.645     0.034
    71.567     0.033
    71.490     0.013
    71.412     0.036
    71.334     0.074
    71.256     0.066
    71.178     0.046
    71.126     0.061
    71.049     0.069
    70.971     0.023
    70.893    -0.028
    70.815    -0.029
    70.737     0.011
    70.660     0.053
    70.582     0.053
    70.504     0.024
    70.426     0.020
    70.348     0.020
    70.271    -0.011
    70.193    -0.035
    70.115    -0.035
    70.037    -0.023
    69.959     0.003
    69.882     0.025
    69.804     0.016
    69.726    -0.020
    69.648    -0.056
    69.570    -0.045
    69.493     0.023
    69.415     0.071
    69.337     0.052
    69.259     0.028
    69.181     0.043
    69.104     0.052
    69.026     0.030
    68.948     0.001
    68.870    -0.019
    68.792    -0.018
    68.715     0.012
    68.637     0.039
    68.559     0.015
    68.481    -0.015
    68.403     0.003
    68.326     0.010
    68.248    -0.027
    68.170    -0.050
    68.092    -0.035
    68.014    -0.021
    67.937    -0.028
    67.859    -0.034
    67.781    -0.026
    67.703    -0.023
    67.625    -0.038
    67.548    -0.071
    67.470    -0.097
    67.392    -0.088
    67.314    -0.067
    67.236    -0.065
    67.184    -0.078
    67.107    -0.095
    67.029    -0.081
    66.951    -0.034
    66.873    -0.017
    66.795    -0.048
    66.718    -0.061
    66.640    -0.034
    66.562    -0.014
    66.484    -0.026
    66.406    -0.047
    66.329    -0.052
    66.251    -0.038
    66.173    -0.015
    66.095     0.014
    66.017     0.044
    65.940     0.054
    65.862     0.050
    65.784     0.040
    65.706     0.009
    65.628    -0.029
    65.551    -0.043
    65.473    -0.045
    65.395    -0.050
    65.317    -0.033
    65.239     0.015
    65.162     0.053
    65.084     0.056
    65.006     0.041
    64.928     0.016
    64.850    -0.009
    64.773    -0.028
    64.695    -0.034
    64.617     0.011
    64.539     0.077
    64.461     0.089
    64.384     0.056
    64.306     0.017
    64.228    -0.030
    64.150    -0.055
    64.072    -0.028
    63.995     0.016
    63.917     0.057
    63.839     0.082
    63.761     0.045
    63.683    -0.015
    63.606    -0.023
    63.528    -0.023
    63.450    -0.051
    63.372    -0.044
    63.320    -0.001
    63.242    -0.003
    63.165    -0.058
    63.087    -0.089
    63.009    -0.067
    62.931    -0.029
    62.853    -0.013
    62.776    -0.029
    62.698    -0.052
    62.620    -0.037
    62.542    -0.003
    62.464    -0.014
    62.387    -0.066
    62.309    -0.094
    62.231    -0.073
    62.153    -0.065
    62.075    -0.088
    61.998    -0.085
    61.920    -0.053
    61.842    -0.027
    61.764     0.005
    61.686     0.037
    61.609     0.023
    61.531    -0.037
    61.453    -0.091
    61.375    -0.100
    61.297    -0.066
    61.220    -0.025
    61.142     0.001
    61.064     0.018
    60.986     0.039
    60.908     0.045
    60.831     0.017
    60.753    -0.017
    60.675    -0.025
    60.597    -0.028
    60.519    -0.050
    60.442    -0.075
    60.364    -0.084
    60.286    -0.068
    60.208    -0.044
    60.130    -0.066
    60.053    -0.134
    59.975    -0.170
    59.897    -0.134
    59.819    -0.059
    59.741    -0.005
    59.664     0.003
    59.586    -0.023
    59.508    -0.074
    59.430    -0.144
    59.378    -0.180
    59.300    -0.138
    59.223    -0.061
    59.145    -0.023
    59.067    -0.034
    58.989    -0.062
    58.911    -0.089
    58.834    -0.094
    58.756    -0.062
    58.678    -0.021
    58.600    -0.006
    58.522     0.001
    58.445     0.019
    58.367     0.003
    58.289    -0.057
    58.211    -0.083
    58.133    -0.048
    58.056    -0.031
    57.978    -0.076
    57.900    -0.098
    57.822    -0.032
    57.744     0.049
    57.667     0.065
    57.589     0.041
    57.511     0.038
    57.433     0.064
    57.355     0.088
    57.278     0.107
    57.200     0.105
    57.122     0.056
    57.044    -0.012
    56.966    -0.049
    56.889    -0.046
    56.811    -0.023
    56.733     0.004
    56.655     0.024
    56.577     0.019
    56.500    -0.003
    56.422    -0.015
    56.344    -0.009
    56.266     0.021
    56.188     0.068
    56.111     0.105
    56.033     0.136
    55.955     0.155
    55.877     0.138
    55.799     0.099
    55.722     0.085
    55.644     0.112
    55.566     0.160
    55.514     0.201
    55.436     0.239
    55.358     0.294
    55.281     0.361
    55.203     0.434
    55.125     0.508
    55.047     0.563
    54.969     0.613
    54.892     0.677
    54.814     0.730
    54.736     0.764
    54.658     0.784
    54.580     0.792
    54.503     0.816
    54.425     0.862
    54.347     0.870
    54.269     0.830
    54.191     0.795
    54.114     0.760
    54.036     0.689
    53.958     0.633
    53.880     0.637
    53.802     0.657
    53.725     0.680
    53.647     0.718
    53.569     0.753
    53.491     0.783
    53.413     0.807
    53.336     0.799
    53.258     0.756
    53.180     0.701
    53.102     0.667
    53.024     0.669
    52.947     0.685
    52.869     0.694
    52.791     0.682
    52.713     0.669
    52.635     0.690
    52.558     0.717
    52.480     0.727
    52.402     0.766
    52.324     0.832
    52.246     0.872
    52.169     0.898
    52.091     0.947
    52.013     1.006
    51.935     1.034
    51.857     1.033
    51.780     1.036
    51.702     1.059
    51.624     1.102
    51.572     1.163
    51.494     1.234
    51.416     1.280
    51.339     1.246
    51.261     1.137
    51.183     1.029
    51.105     0.967
    51.027     0.924
    50.950     0.864
    50.872     0.784
    50.794     0.715
    50.716     0.666
    50.638     0.599
    50.561     0.503
    50.483     0.411
    50.405     0.335
    50.327     0.266
    50.249     0.214
    50.172     0.192
    50.094     0.202
    50.016     0.232
    49.938     0.235
    49.860     0.178
    49.783     0.097
    49.705     0.039
    49.627     0.022
    49.549     0.035
    49.471     0.067
    49.394     0.095
    49.316     0.097
    49.238     0.067
    49.160     0.025
    49.082    -0.012
    49.005    -0.038
    48.927    -0.049
    48.849    -0.043
    48.771    -0.034
    48.693    -0.029
    48.616    -0.020
    48.538    -0.010
    48.460    -0.021
    48.382    -0.045
    48.304    -0.049
    48.227    -0.045
    48.149    -0.045
    48.071    -0.043
    47.993    -0.051
    47.915    -0.058
    47.838    -0.046
    47.760    -0.039
    47.682    -0.043
    47.630    -0.027
    47.552     0.013
    47.474     0.049
    47.397     0.064
    47.319     0.058
    47.241     0.037
    47.163     0.008
    47.085    -0.010
    47.008    -0.009
    46.930     0.001
    46.852     0.006
    46.774     0.010
    46.696     0.018
    46.619     0.020
    46.541     0.012
    46.463    -0.004
    46.385    -0.029
    46.307    -0.049
    46.230    -0.060
    46.152    -0.071
    46.074    -0.074
    45.996    -0.057
