#velocity    Tmb
#km/s         K
    83.897     0.040
    83.820     0.060
    83.743     0.080
    83.666     0.090
    83.588     0.085
    83.511     0.074
    83.434     0.063
    83.357     0.053
    83.279     0.061
    83.228     0.065
    83.151     0.032
    83.073    -0.003
    82.996    -0.001
    82.919     0.024
    82.842     0.038
    82.765     0.040
    82.687     0.063
    82.610     0.108
    82.533     0.125
    82.456     0.099
    82.378     0.062
    82.301     0.040
    82.224     0.049
    82.147     0.063
    82.069     0.032
    81.992    -0.024
    81.915    -0.048
    81.838    -0.035
    81.761     0.000
    81.683     0.035
    81.606     0.030
    81.529    -0.007
    81.452    -0.030
    81.374    -0.020
    81.297     0.015
    81.220     0.055
    81.143     0.064
    81.066     0.034
    80.988     0.012
    80.911     0.021
    80.834     0.012
    80.757    -0.030
    80.679    -0.069
    80.602    -0.087
    80.525    -0.074
    80.448    -0.038
    80.370    -0.017
    80.293    -0.010
    80.216     0.005
    80.139     0.011
    80.062    -0.003
    79.984    -0.015
    79.907    -0.025
    79.830    -0.039
    79.753    -0.038
    79.675    -0.002
    79.598     0.048
    79.521     0.051
    79.444     0.004
    79.392    -0.029
    79.315    -0.030
    79.238    -0.021
    79.160     0.001
    79.083     0.045
    79.006     0.081
    78.929     0.056
    78.852    -0.029
    78.774    -0.082
    78.697    -0.032
    78.620     0.060
    78.543     0.105
    78.465     0.094
    78.388     0.056
    78.311     0.016
    78.234    -0.006
    78.157    -0.022
    78.079    -0.045
    78.002    -0.040
    77.925     0.006
    77.848     0.037
    77.770     0.017
    77.693    -0.033
    77.616    -0.074
    77.539    -0.064
    77.461    -0.020
    77.384    -0.001
    77.307    -0.005
    77.230    -0.006
    77.153    -0.020
    77.075    -0.047
    76.998    -0.055
    76.921    -0.044
    76.844    -0.031
    76.766    -0.014
    76.689    -0.003
    76.612    -0.003
    76.535     0.010
    76.457     0.030
    76.380     0.009
    76.303    -0.046
    76.226    -0.073
    76.149    -0.072
    76.071    -0.084
    75.994    -0.086
    75.917    -0.048
    75.840    -0.002
    75.762     0.012
    75.685     0.008
    75.608     0.000
    75.531    -0.028
    75.479    -0.067
    75.402    -0.073
    75.325    -0.049
    75.248    -0.051
    75.170    -0.064
    75.093    -0.032
    75.016     0.011
    74.939     0.015
    74.861     0.007
    74.784     0.016
    74.707     0.041
    74.630     0.063
    74.552     0.056
    74.475     0.039
    74.398     0.022
    74.321    -0.008
    74.244    -0.035
    74.166    -0.039
    74.089    -0.023
    74.012     0.006
    73.935     0.019
    73.857     0.008
    73.780    -0.010
    73.703    -0.024
    73.626    -0.027
    73.548    -0.026
    73.471    -0.038
    73.394    -0.056
    73.317    -0.077
    73.240    -0.106
    73.162    -0.123
    73.085    -0.114
    73.008    -0.102
    72.931    -0.096
    72.853    -0.071
    72.776    -0.026
    72.699     0.010
    72.622     0.022
    72.544     0.026
    72.467     0.049
    72.390     0.075
    72.313     0.054
    72.236     0.007
    72.158     0.004
    72.081     0.036
    72.004     0.048
    71.927     0.013
    71.849    -0.048
    71.772    -0.080
    71.695    -0.056
    71.643    -0.017
    71.566    -0.011
    71.489    -0.044
    71.412    -0.100
    71.335    -0.130
    71.257    -0.097
    71.180    -0.026
    71.103     0.018
    71.026     0.019
    70.948    -0.005
    70.871    -0.048
    70.794    -0.075
    70.717    -0.050
    70.639    -0.005
    70.562     0.007
    70.485    -0.013
    70.408    -0.029
    70.331    -0.043
    70.253    -0.062
    70.176    -0.071
    70.099    -0.070
    70.022    -0.059
    69.944    -0.045
    69.867    -0.048
    69.790    -0.074
    69.713    -0.121
    69.635    -0.156
    69.558    -0.143
    69.481    -0.091
    69.404    -0.033
    69.327    -0.001
    69.249    -0.019
    69.172    -0.063
    69.095    -0.102
    69.018    -0.125
    68.940    -0.115
    68.863    -0.085
    68.786    -0.059
    68.709    -0.021
    68.631     0.016
    68.554     0.036
    68.477     0.061
    68.400     0.071
    68.323     0.038
    68.245     0.009
    68.168     0.008
    68.091     0.013
    68.014     0.024
    67.936     0.036
    67.859     0.038
    67.782     0.030
    67.730     0.015
    67.653    -0.014
    67.576    -0.065
    67.499    -0.111
    67.422    -0.112
    67.344    -0.070
    67.267    -0.008
    67.190     0.054
    67.113     0.085
    67.035     0.075
    66.958     0.025
    66.881    -0.051
    66.804    -0.093
    66.726    -0.066
    66.649    -0.019
    66.572    -0.018
    66.495    -0.056
    66.418    -0.071
    66.340    -0.033
    66.263     0.003
    66.186    -0.006
    66.109    -0.024
    66.031    -0.022
    65.954    -0.019
    65.877    -0.046
    65.800    -0.075
    65.722    -0.054
    65.645    -0.004
    65.568     0.027
    65.491     0.042
    65.414     0.040
    65.336     0.052
    65.259     0.087
    65.182     0.067
    65.105    -0.005
    65.027    -0.037
    64.950    -0.037
    64.873    -0.036
    64.796     0.002
    64.718     0.047
    64.641     0.034
    64.564    -0.004
    64.487    -0.012
    64.410     0.011
    64.332     0.036
    64.255     0.045
    64.178     0.043
    64.101     0.024
    64.023    -0.031
    63.946    -0.078
    63.895    -0.074
    63.817    -0.047
    63.740    -0.018
    63.663     0.015
    63.586     0.015
    63.509    -0.020
    63.431    -0.029
    63.354     0.009
    63.277     0.047
    63.200     0.052
    63.122     0.040
    63.045     0.040
    62.968     0.050
    62.891     0.048
    62.813     0.034
    62.736     0.023
    62.659     0.022
    62.582     0.019
    62.505     0.010
    62.427     0.018
    62.350     0.052
    62.273     0.080
    62.196     0.071
    62.118     0.023
    62.041    -0.041
    61.964    -0.064
    61.887    -0.026
    61.809     0.018
    61.732     0.035
    61.655     0.032
    61.578     0.029
    61.501     0.041
    61.423     0.062
    61.346     0.087
    61.269     0.093
    61.192     0.050
    61.114     0.002
    61.037     0.001
    60.960     0.038
    60.883     0.075
    60.805     0.077
    60.728     0.051
    60.651     0.029
    60.574     0.016
    60.497     0.020
    60.419     0.044
    60.342     0.058
    60.265     0.039
    60.188     0.007
    60.110    -0.011
    60.033    -0.002
    59.982     0.014
    59.904     0.001
    59.827    -0.033
    59.750    -0.041
    59.673    -0.006
    59.596     0.032
    59.518     0.034
    59.441     0.004
    59.364    -0.027
    59.287    -0.030
    59.209    -0.006
    59.132     0.016
    59.055    -0.001
    58.978    -0.038
    58.900    -0.035
    58.823     0.016
    58.746     0.056
